name,hd,ra,dec,vmag,class
SAO 249147,32034,73.791208,-67.169156, 9.2,STAR
SAO 255153,,332.180038,-67.128239, 9.2,STAR
SAO 251662,,179.546063,-67.092028, 9.0,STAR
SAO 252024,,191.699238,-67.0372, 8.9,STAR
SAO 252227,,198.858929,-67.014281, 9.0,STAR
SAO 252072,,193.449142,-66.886519, 9.2,STAR
SAO 248763,,48.678808,-66.885858, 8.8,STAR
SAO 253573,,247.478979,-66.869808, 8.9,STAR
SAO 248900,,58.156183,-66.825322, 9.3,STAR
SAO 248341,,18.712321,-66.755903, 9.2,STAR
SAO 254161,,272.86725,-66.742111, 8.9,STAR
SAO 255112,,329.602,-66.716319, 9.3,STAR
SAO 248814,,52.024513,-66.664625, 9.3,STAR
